brand_id,brand_name,n_stores,status,basis,gap_years,reason,year
BRD_20160628,메가엠지씨커피(MEGA MGC COFFEE),3325.0,평가,정규,,,2024
BRD_20141250,컴포즈커피(COMPOSE COFFEE),2649.0,평가,정규,,,2024
BRD_20080100014,이디야커피,2562.0,평가,정규,,,2024
BRD_20080100655,비에이치씨(BHC),2228.0,평가,정규,,,2024
BRD_20090100502,빽다방,1712.0,평가,정규,,,2024
BRD_20080500015,배스킨라빈스,1706.0,평가,정규,,,2024
BRD_20080100157,맘스터치,1444.0,평가,정규,,,2024
BRD_20080600002,교촌치킨,1361.0,평가,정규,,,2024
BRD_20080100039,뚜레쥬르,1307.0,평가,정규,,,2024
BRD_20080200019,투다리,1292.0,평가,정규,,,2024
BRD_20080200106,처갓집양념치킨,1254.0,평가,정규,,,2024
BRD_20140722,더벤티,1230.0,평가,정규,,,2024
BRD_20080200030,굽네치킨,1154.0,평가,정규,,,2024
BRD_20141221,본죽&비빔밥,1150.0,평가,정규,,,2024
BRD_20080500035,페리카나,995.0,평가,정규,,,2024
BRD_20161219,역전할머니맥주1982,963.0,평가,정규,,,2024
BRD_20080500031,이삭토스트,894.0,평가,정규,,,2024
BRD_20080100061,네네치킨,869.0,평가,정규,,,2024
BRD_20130100052,공차,836.0,평가,정규,,,2024
BRD_20180244,텐퍼센트스페셜티커피,814.0,평가,정규,,,2024
BRD_20080100308,한솥,811.0,평가,정규,,,2024
BRD_20160798,가마치통닭,788.0,평가,정규,,,2024
BRD_20130176,노랑통닭,751.0,평가,정규,,,2024
BRD_20080300013,지코바양념치킨,743.0,평가,정규,,,2024
BRD_20161159,매머드익스프레스(Mammoth Express),742.0,평가,정규,,,2024
BRD_20080600014,호식이두마리치킨,722.0,평가,정규,,,2024
BRD_20150218,푸라닭,715.0,평가,정규,,,2024
BRD_20140475,자담치킨,708.0,평가,정규,,,2024
BRD_20211891,PC토랑,676.0,평가,정규,,,2024
BRD_20110600008,신전떡볶이,671.0,평가,정규,,,2024
BRD_20151039,60계,665.0,평가,정규,,,2024
BRD_20130100283,불닭발땡초동대문엽기떡볶이,650.0,평가,정규,,,2024
BRD_20201203,하삼동커피,644.0,평가,정규,,,2024
BRD_20080100190,피자스쿨,628.0,평가,정규,,,2024
BRD_20191192,프랭크버거,622.0,평가,정규,,,2024
BRD_20080500016,던킨/던킨도너츠,616.0,평가,정규,,,2024
BRD_20171254,명륜진사갈비,606.0,평가,정규,,,2024
BRD_20160858,두찜,603.0,평가,정규,,,2024
BRD_20130249,설빙,576.0,평가,정규,,,2024
BRD_20080100243,본죽,575.0,평가,정규,,,2024
BRD_20201288,밥스토랑,534.0,평가,정규,,,2024
BRD_20080100180,또래오래,527.0,평가,정규,,,2024
BRD_20150811,디저트39,504.0,평가,정규,,,2024
BRD_20080100739,피자마루,498.0,평가,정규,,,2024
BRD_20191049,탕화쿵푸마라탕,492.0,평가,정규,,,2024
BRD_20161137,명랑시대쌀핫도그,480.0,평가,정규,,,2024
BRD_20130100004,봉구스밥버거,473.0,평가,정규,,,2024
BRD_20120100160,또봉이통닭,462.0,평가,정규,,,2024
BRD_20171244,크라운호프보리장인,456.0,평가,정규,,,2024
BRD_20080200276,맥시칸치킨,418.0,평가,정규,,,2024
BRD_20151202,THE LITER (더리터),416.0,평가,정규,,,2024
BRD_20150189,카페봄봄,414.0,평가,정규,,,2024
BRD_20100100482,본도시락,405.0,평가,정규,,,2024
BRD_20180410,일품양평해장국,394.0,평가,정규,,,2024
BRD_20120100533,가장맛있는족발,384.0,평가,정규,,,2024
BRD_20080100109,김가네,377.0,평가,정규,,,2024
BRD_20080100159,도미노피자,373.0,평가,정규,,,2024
BRD_20220572,카페요아정,372.0,평가,정규,,,2024
BRD_20141019,반올림피자,365.0,평가,정규,,,2024
BRD_20090100089,오구피자,360.0,평가,정규,,,2024
BRD_20150700,청년다방,352.0,평가,정규,,,2024
BRD_20080100201,간이역,349.0,평가,정규,,,2024
BRD_20230178,카페만월경,340.0,평가,정규,,,2024
BRD_20160311,바다양푼이동태탕찜,334.0,평가,정규,,,2024
BRD_20150828,샐러디,333.0,평가,정규,,,2024
BRD_20100100603,펀비어킹,327.0,평가,정규,,,2024
BRD_20190630,배떡,325.0,평가,정규,,,2024
BRD_20120600009,피자스쿨,324.0,평가,정규,,,2024
BRD_20191342,우리할매 떡볶이,319.0,평가,정규,,,2024
BRD_20080100328,죽이야기,318.0,평가,정규,,,2024
BRD_20180249,청년피자,312.0,평가,정규,,,2024
BRD_20080100261,훌랄라,298.0,평가,정규,,,2024
BRD_20080100210,홍콩반점0410,293.0,평가,정규,,,2024
BRD_20110100237,커피베이,286.0,평가,정규,,,2024
BRD_20080100087,김밥천국,284.0,평가,정규,,,2024
BRD_20180070,감성커피,283.0,평가,정규,,,2024
BRD_20080100635,요거프레소,281.0,평가,정규,,,2024
BRD_20170439,후라이드 참 잘하는집,280.0,평가,정규,,,2024
BRD_20220057,철길부산집,280.0,평가,정규,,,2024
BRD_20170127,치킨플러스,279.0,평가,정규,,,2024
BRD_20080500019,원할머니,278.0,평가,정규,,,2024
BRD_20211005,하이오커피,277.0,평가,정규,,,2024
BRD_20170547,엑스오엑스오푸드카페,275.0,평가,정규,,,2024
BRD_20201358,담꾹,266.0,평가,정규,,,2024
BRD_20080100397,피자헛,260.0,평가,정규,,,2024
BRD_20080100487,부어치킨,260.0,평가,정규,,,2024
BRD_20110100603,누구나홀딱반한닭,260.0,평가,정규,,,2024
BRD_20181008,김복남맥주,253.0,평가,정규,,,2024
BRD_20080100076,파파존스피자,250.0,평가,정규,,,2024
BRD_20100100136,피자알볼로,249.0,평가,정규,,,2024
BRD_20170451,선비꼬마김밥,248.0,평가,정규,,,2024
BRD_20213267,기영이숯불두마리치킨,248.0,평가,정규,,,2024
BRD_20215019,빽보이피자,243.0,평가,정규,,,2024
BRD_20180171,달리는커피,240.0,평가,정규,,,2024
BRD_20090100195,국수나무,236.0,평가,정규,,,2024
BRD_20221246,열정국밥,234.0,평가,정규,,,2024
BRD_20191016,삼첩분식,232.0,평가,정규,,,2024
BRD_20201227,오복 오봉집,232.0,평가,정규,,,2024
BRD_20160884,마왕족발,231.0,평가,정규,,,2024
BRD_20160835,얌샘김밥,226.0,평가,정규,,,2024
BRD_20160973,카페051(cafe051),226.0,평가,정규,,,2024
BRD_20200802,Blu Shaak(블루샥),225.0,평가,정규,,,2024
BRD_20160773,족발야시장,219.0,평가,정규,,,2024
BRD_20120100352,역전우동0410,218.0,평가,정규,,,2024
BRD_20200239,인쌩맥주,217.0,평가,정규,,,2024
BRD_20080100373,탐앤탐스커피(TOMNTOMS COFFEE),215.0,평가,정규,,,2024
BRD_20180479,벌크커피(BULK COFFEE),210.0,평가,정규,,,2024
BRD_20213303,춘리마라탕,202.0,평가,정규,,,2024
BRD_20130452,유가네,201.0,평가,정규,,,2024
BRD_20210705,우지커피(OOZYCOFFEE),199.0,평가,정규,,,2024
BRD_20181340,보배반점,198.0,평가,정규,,,2024
BRD_20080100646,앤티앤스,197.0,평가,정규,,,2024
BRD_20150098,곤지암할매소머리국밥,194.0,평가,정규,,,2024
BRD_20231719,마장동 고기집,194.0,평가,정규,,,2024
BRD_20090300004,7번가피자,191.0,평가,정규,,,2024
BRD_20151296,백채,191.0,평가,정규,,,2024
BRD_20190929,노브랜드 버거(No Brand Burger),189.0,평가,정규,,,2024
BRD_20200376,읍천리 382,188.0,평가,정규,,,2024
BRD_20200807,덮덮밥,188.0,평가,정규,,,2024
BRD_20210826,요거트아이스크림의 정석,187.0,평가,정규,,,2024
BRD_20150930,바른치킨,185.0,평가,정규,,,2024
BRD_20160124,설동궁찜닭,184.0,평가,정규,,,2024
BRD_20170358,33떡볶이,183.0,평가,정규,,,2024
BRD_20171137,카페인중독,183.0,평가,정규,,,2024
BRD_20120300082,압구정 봉구비어,182.0,평가,정규,,,2024
BRD_20170454,감탄떡볶이,182.0,평가,정규,,,2024
BRD_20201747,아구듬뿍&알곤마니,181.0,평가,정규,,,2024
BRD_20231209,생마차,181.0,평가,정규,,,2024
BRD_20080100430,미소야,180.0,평가,정규,,,2024
BRD_20212610,기떡찜,180.0,평가,정규,,,2024
BRD_20090400025,현대옥,179.0,평가,정규,,,2024
BRD_20141063,생활맥주,179.0,평가,정규,,,2024
BRD_20212140,스텔라떡볶이,179.0,평가,정규,,,2024
BRD_20181053,장호덕손만두,178.0,평가,정규,,,2024
BRD_20080600010,땅땅치킨,177.0,평가,정규,,,2024
BRD_20212321,대박삼겹김치찜&초대박등갈비김치찜,176.0,평가,정규,,,2024
BRD_20080200229,신의주찹쌀순대,175.0,평가,정규,,,2024
BRD_20080300020,치킨신드롬,175.0,평가,정규,,,2024
BRD_20151155,쥬씨(JUICY),175.0,평가,정규,,,2024
BRD_20200830,인생아구찜,175.0,평가,정규,,,2024
BRD_20190497,정직유부,174.0,평가,정규,,,2024
BRD_20220831,노모어피자,174.0,평가,정규,,,2024
NAME:국수나무@외식,국수나무,173.0,평가,정규,,,2024
BRD_20161199,동근이숯불두마리치킨,172.0,평가,정규,,,2024
BRD_20211340,순수덮밥,171.0,평가,정규,,,2024
BRD_20200543,목구멍,169.0,평가,정규,,,2024
BRD_20200522,프레드피자,168.0,평가,정규,,,2024
BRD_20120100604,코코호도,167.0,평가,정규,,,2024
BRD_20210375,바른보쌈1990,166.0,평가,정규,,,2024
BRD_20213411,백억커피,165.0,평가,정규,,,2024
BRD_20211434,요거트월드,164.0,평가,정규,,,2024
BRD_20214931,탕참탕수육참잘하는집,164.0,평가,정규,,,2024
BRD_20201587,한신우동,163.0,평가,정규,,,2024
BRD_20130100180,뉴욕버거,161.0,평가,정규,,,2024
BRD_20080100233,용우동,160.0,평가,정규,,,2024
BRD_20214343,화락바베큐치킨,159.0,평가,정규,,,2024
BRD_20230924,고기듬뿍국물두루치기,159.0,평가,정규,,,2024
BRD_20201482,돼지게티,158.0,평가,정규,,,2024
BRD_20080200033,조마루감자탕,157.0,평가,정규,,,2024
BRD_20130155,이화수전통육개장,157.0,평가,정규,,,2024
BRD_20080100048,놀부부대찌개,156.0,평가,정규,,,2024
BRD_20080400039,까투리,154.0,평가,정규,,,2024
