brand_id,close_3m,open_3m,net_3m,close_rate_3m,trend,brand_name,as_of_month,n_active_end,base_active,close_3m_prev_year,close_rate_prev_year,yoy_ratio,p_value,transfer_3m,reason,scope
BRD_20080100014,65,25,-40,0.027885027885027884,유지,이디야커피,2026-08,2292,2331,64,0.02556931681981622,1.0905660124410124,0.34272473734402054,1,"폐업 65건(전년 동기 64건, 점포 2331·2503곳 기준 기대 59.6건) — 통계적으로 다르지 않음.",전국
BRD_20080100031,0,0,0,0.0,유지,강정이기가막혀,2026-08,13,13,0,0.0,,1.0,0,"폐업 0건(전년 동기 0건, 점포 13·12곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100033,1,0,-1,0.008064516129032258,유지,피자에땅,2026-08,123,124,3,0.022388059701492536,0.3602150537634409,0.342118154548594,0,"폐업 1건(전년 동기 3건, 점포 124·134곳 기준 기대 2.8건) — 통계적으로 다르지 않음.",전국
BRD_20080100034,2,0,-2,0.03636363636363636,유지,오븐에빠진닭,2026-08,53,55,2,0.034482758620689655,1.0545454545454545,0.66732895480596,0,"폐업 2건(전년 동기 2건, 점포 55·58곳 기준 기대 1.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100039,19,7,-12,0.01424287856071964,유지,뚜레쥬르,2026-08,1322,1334,21,0.015283842794759825,0.9318911972585137,0.47457364052745454,1,"폐업 19건(전년 동기 21건, 점포 1334·1374곳 기준 기대 20.4건) — 통계적으로 다르지 않음.",전국
BRD_20080100047,0,0,0,0.0,판단보류,놀부보쌈족발,2026-08,8,8,0,0.0,,,0,관측 점포 10곳 미만(현재 8·전년 9).,전국
BRD_20080100048,2,0,-2,0.023809523809523808,유지,놀부부대찌개,2026-08,82,84,1,0.011363636363636364,2.095238095238095,0.4825612839121082,0,"폐업 2건(전년 동기 1건, 점포 84·88곳 기준 기대 1.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100052,5,1,-4,0.037037037037037035,유지,치킨마루,2026-08,131,135,1,0.006993006993006993,5.296296296296296,0.09646045707050366,0,"폐업 5건(전년 동기 1건, 점포 135·143곳 기준 기대 0.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100055,0,3,3,0.0,유지,본스치킨,2026-08,122,119,0,0.0,,1.0,1,"폐업 0건(전년 동기 0건, 점포 119·117곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100059,0,0,0,0.0,유지,생생돈까스,2026-08,37,37,1,0.023255813953488372,0.0,0.5375,0,"폐업 0건(전년 동기 1건, 점포 37·43곳 기준 기대 0.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100061,15,4,-11,0.018633540372670808,유지,네네치킨,2026-08,794,805,12,0.014201183431952662,1.3121118012422361,0.304694962734378,0,"폐업 15건(전년 동기 12건, 점포 805·845곳 기준 기대 11.4건) — 통계적으로 다르지 않음.",전국
BRD_20080100076,0,5,5,0.0,유지,파파존스피자,2026-08,216,211,0,0.0,,1.0,0,"폐업 0건(전년 동기 0건, 점포 211·207곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100077,1,1,0,0.01694915254237288,유지,맛깔참죽,2026-08,59,59,4,0.05970149253731343,0.2838983050847458,0.22969685862575134,0,"폐업 1건(전년 동기 4건, 점포 59·67곳 기준 기대 3.5건) — 통계적으로 다르지 않음.",전국
BRD_20080100085,1,0,-1,0.1111111111111111,판단보류,나뚜루,2026-08,8,9,1,0.09090909090909091,1.222222222222222,,0,관측 점포 10곳 미만(현재 9·전년 11).,전국
BRD_20080100087,20,5,-15,0.01833180568285976,유지,김밥천국,2026-08,1076,1091,18,0.01565217391304348,1.171198696404929,0.372493998661079,0,"폐업 20건(전년 동기 18건, 점포 1091·1150곳 기준 기대 17.1건) — 통계적으로 다르지 않음.",전국
BRD_20080100092,0,0,0,0.0,유지,엘리팝,2026-08,20,20,2,0.09090909090909091,0.0,0.2743764172335601,0,"폐업 0건(전년 동기 2건, 점포 20·22곳 기준 기대 1.8건) — 통계적으로 다르지 않음.",전국
BRD_20080100099,0,0,0,,판단보류,피쉬앤그릴too,2026-08,0,0,0,,,,0,관측 점포 10곳 미만(현재 0·전년 0).,전국
BRD_20080100101,0,0,0,0.0,유지,코바코,2026-08,21,21,1,0.043478260869565216,0.0,0.5227272727272727,0,"폐업 0건(전년 동기 1건, 점포 21·23곳 기준 기대 0.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100109,12,4,-8,0.028985507246376812,유지,김가네,2026-08,406,414,10,0.02288329519450801,1.2666666666666668,0.36669883290149985,0,"폐업 12건(전년 동기 10건, 점포 414·437곳 기준 기대 9.5건) — 통계적으로 다르지 않음.",전국
BRD_20080100111,8,0,-8,0.07142857142857142,유지,채선당,2026-08,104,112,6,0.04411764705882353,1.6190476190476188,0.2626599482287081,0,"폐업 8건(전년 동기 6건, 점포 112·136곳 기준 기대 4.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100117,0,0,0,0.0,유지,구이가,2026-08,12,12,0,0.0,,1.0,0,"폐업 0건(전년 동기 0건, 점포 12·12곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100128,0,0,0,0.0,유지,디델리,2026-08,15,15,0,0.0,,1.0,0,"폐업 0건(전년 동기 0건, 점포 15·16곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100138,1,0,-1,0.02631578947368421,유지,죠샌드위치,2026-08,37,38,3,0.06818181818181818,0.3859649122807018,0.36928246939496967,0,"폐업 1건(전년 동기 3건, 점포 38·44곳 기준 기대 2.6건) — 통계적으로 다르지 않음.",전국
BRD_20080100141,0,0,0,,판단보류,펀앤조이오뎅사께,2026-08,0,0,0,,,,0,관측 점포 10곳 미만(현재 0·전년 0).,전국
BRD_20080100153,5,1,-4,0.022321428571428572,유지,엔제리너스,2026-08,220,224,10,0.0411522633744856,0.5424107142857143,0.19120869884723357,0,"폐업 5건(전년 동기 10건, 점포 224·243곳 기준 기대 9.2건) — 통계적으로 다르지 않음.",전국
BRD_20080100155,9,10,1,0.006813020439061317,유지,롯데리아,2026-08,1322,1321,10,0.0076511094108645756,0.8904617713853141,0.4906143503580753,0,"폐업 9건(전년 동기 10건, 점포 1321·1307곳 기준 기대 10.1건) — 통계적으로 다르지 않음.",전국
BRD_20080100157,10,16,6,0.006702412868632708,유지,맘스터치,2026-08,1498,1492,6,0.0041293874741913286,1.623100983020554,0.24374925714416906,1,"폐업 10건(전년 동기 6건, 점포 1492·1453곳 기준 기대 6.2건) — 통계적으로 다르지 않음.",전국
BRD_20080100159,1,1,0,0.002044989775051125,유지,도미노피자,2026-08,489,489,1,0.002066115702479339,0.9897750511247444,0.7474240252490416,0,"폐업 1건(전년 동기 1건, 점포 489·484곳 기준 기대 1.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100162,1,0,-1,0.04,유지,기소야,2026-08,24,25,0,0.0,,0.4807692307692307,0,"폐업 1건(전년 동기 0건, 점포 25·27곳 기준 기대 0.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100172,1,1,0,0.011627906976744186,유지,둘둘치킨,2026-08,86,86,1,0.011764705882352941,0.9883720930232558,0.7470674737526075,0,"폐업 1건(전년 동기 1건, 점포 86·85곳 기준 기대 1.0건) — 통계적으로 다르지 않음.",전국
BRD_20080100180,11,2,-9,0.025821596244131457,유지,또래오래,2026-08,417,426,6,0.013303769401330377,1.9409233176838812,0.13822999348581655,0,"폐업 11건(전년 동기 6건, 점포 426·451곳 기준 기대 5.7건) — 통계적으로 다르지 않음.",전국
BRD_20080100190,2,8,6,0.00202020202020202,유지,피자스쿨,2026-08,996,990,6,0.006185567010309278,0.3265993265993266,0.13793707654538973,0,"폐업 2건(전년 동기 6건, 점포 990·970곳 기준 기대 6.1건) — 통계적으로 다르지 않음.",전국
BRD_20080100199|JNG_000064,7,3,-4,0.0166270783847981,유지,할리스,2026-08,417,421,8,0.017897091722595078,0.9290380047505938,0.5469605877955097,0,"폐업 7건(전년 동기 8건, 점포 421·447곳 기준 기대 7.5건) — 통계적으로 다르지 않음.",전국
BRD_20080100201,4,0,-4,0.012232415902140673,유지,간이역,2026-08,322,327,2,0.0058823529411764705,2.0795107033639146,0.32566050932827084,1,"폐업 4건(전년 동기 2건, 점포 327·340곳 기준 기대 1.9건) — 통계적으로 다르지 않음.",전국
BRD_20080100207,0,0,0,0.0,판단보류,백종원의원조쌈밥집,2026-08,2,2,0,0.0,,,0,관측 점포 10곳 미만(현재 2·전년 2).,전국
BRD_20080100208,5,3,-2,0.0641025641025641,유지,새마을식당,2026-08,76,78,4,0.045454545454545456,1.4102564102564101,0.426232868860416,0,"폐업 5건(전년 동기 4건, 점포 78·88곳 기준 기대 3.5건) — 통계적으로 다르지 않음.",전국
